"Fecha","Proyecto","Tarea","Un","Integrante"
01/04/20,"ProyectoN","Desarrollo",8,
01/04/20,"ProyectoC","Test",24,
01/04/20,"ProyectoN","Reunión",5,
01/04/20,"ProyectoN","Desarrollo",124,
01/04/20,"ProyectoN","Desarrollo",1,
01/04/20,"ProyectoN","Desarrollo",2,
01/04/20,"ProyectoN","Test",1,
01/04/20,"ProyectoN","Test",2,
01/04/20,"ProyectoN","Test",12,
01/04/20,"ProyectoN","Test",20,
01/04/20,"ProyectoF","Test",2,
01/04/20,"ProyectoF","Desarrollo",2,
01/04/20,"ProyectoN","Reunión",1,
01/04/20,"ProyectoN","Estimación",2,
01/04/20,"ProyectoN","Test",1,
01/04/20,"ProyectoN","Test",4,
01/04/20,"ProyectoP","Desarrollo",10,
01/04/20,"ProyectoI","Revisión",25,
01/04/20,"ProyectoP","Reunión",3,
01/04/20,"ProyectoC","Estimación",4,
01/04/20,"ProyectoM","Reunión",3,
01/04/20,"ProyectoN","Desarrollo",101,
01/04/20,"ProyectoM","Desarrollo",12,
01/04/20,"ProyectoF","Bug",8,
01/04/20,"ProyectoN","Desarrollo",10,
01/04/20,"ProyectoN","Desarrollo",88,
01/04/20,"ProyectoB","Revisión",4,
01/04/20,"ProyectoN","Revisión",4,
01/04/20,"ProyectoN","Revisión",12,
01/04/20,"ProyectoN","Desarrollo",8,
01/04/20,"ProyectoN","Desarrollo",8,
01/04/20,"ProyectoF","Desarrollo",4,
01/04/20,"ProyectoF","Test",4,
01/04/20,"ProyectoN","Test",1,
01/04/20,"ProyectoI","Test",1,
01/04/20,"ProyectoC","Test",1,
01/04/20,"ProyectoN","Test",2,
01/04/20,"ProyectoF","Test",1,
01/04/20,"ProyectoF","Test",1,
01/04/20,"ProyectoN","Desarrollo",8,
01/04/20,"ProyectoF","Desarrollo",4,
01/05/20,"ProyectoF","Test",6,
01/05/20,"ProyectoN","Test",8,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoN","Bug",8,
01/05/20,"ProyectoF","Test",2,
01/05/20,"ProyectoF","Desarrollo",4,
01/05/20,"ProyectoN","Desarrollo",48,
01/05/20,"ProyectoN","Desarrollo",10,
01/05/20,"ProyectoN","Desarrollo",2,
01/05/20,"ProyectoN","Bug",16,
01/05/20,"ProyectoN","Bug",8,
01/05/20,"ProyectoN","Bug",8,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoP","Reunión",6,
01/05/20,"ProyectoN","Bug",8,
01/05/20,"ProyectoN","Bug",8,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoF","Desarrollo",24,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoN","Desarrollo",16,
01/05/20,"ProyectoK","Desarrollo",20,
01/05/20,"ProyectoP","Desarrollo",20,
01/05/20,"ProyectoN","Desarrollo",32,
01/05/20,"ProyectoN","Desarrollo",74,
01/05/20,"ProyectoM","Desarrollo",14,
01/05/20,"ProyectoC","Desarrollo",16,
01/05/20,"ProyectoC","Desarrollo",16,
01/05/20,"ProyectoN","Desarrollo",40,
01/05/20,"ProyectoN","Desarrollo",8,
01/05/20,"ProyectoI","Revisión",80,
01/05/20,"ProyectoL","Revisión",20,
01/05/20,"ProyectoN","Test",5,
01/05/20,"ProyectoC","Test",2,
01/06/20,"ProyectoC","Test",3,
01/01/19,"Generales","Asignación",4,
01/01/19,"ProyectoA","Test",1,
01/01/19,"ProyectoB","Test",2,
01/01/19,"ProyectoC","Entrega",1,
01/01/19,"ProyectoD","Test",1,
01/01/19,"ProyectoD","Revisión",2,
01/01/19,"ProyectoB","Revisión",2,
01/02/19,"ProyectoE","Revisión",6,
01/01/19,"ProyectoF","Test",2,
01/01/19,"ProyectoD","Test",3,
01/01/19,"ProyectoD","Revisión",3,
01/01/19,"ProyectoD","Desarrollo",20,
01/01/19,"ProyectoD","Desarrollo",32,
01/01/19,"ProyectoD","Desarrollo",32,
01/01/19,"ProyectoF","Desarrollo",16,
01/01/19,"ProyectoK","Desarrollo",16,
01/01/19,"ProyectoF","Desarrollo",12,
01/01/19,"ProyectoG","Test",3,
01/02/19,"ProyectoE","Desarrollo",12,
01/01/19,"ProyectoB","Revisión",4,
01/01/19,"ProyectoG","Revisión",2,
01/01/19,"ProyectoH","Revisión",2,
01/01/19,"ProyectoG","Revisión",2,
01/02/19,"ProyectoF","Test",4,
01/02/19,"ProyectoG","Test",2,
